titel	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	srt	Naam	Type	toevoeging	bezoekadres	Postcode	Plaats	postadres	post_pc	tel	fax	email	internet	directie	stadsdeel	brin	Meer info van DMO
ROC TOP, Locatie Creatieve Industrieschool	roc_top_locatie_creatieve_industrieschool		0000-00-00 00:00:00	Vlaardingenlaan 25	1062 HM		POINT(4.8354201 52.3465195)		Amsterdam	Middelbare school	VO	ROC TOP, Locatie Creatieve Industrieschool	Algemeen Bijzonder		Vlaardingenlaan 25	1062 HM	Amsterdam			487 94 00		cis@roctop.nl	www.roctop.nl		West	30RM	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30RM.htm
ROC TOP, Locatie De Vlaardingenlaan	roc_top_locatie_de_vlaardingenlaan		0000-00-00 00:00:00	Vlaardingenlaan 25	1062 HM		POINT(4.8354201 52.3465195)		Amsterdam	Middelbare school	VO	ROC TOP, Locatie De Vlaardingenlaan	Algemeen Bijzonder		Vlaardingenlaan 25	1062 HM	Amsterdam			487 94 00		vlaardingenlaan@roctop.nl	www.roctop.nl		West	30RM	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30RM.htm
ROC TOP, Locatie De Boelelaan	roc_top_locatie_de_boelelaan		0000-00-00 00:00:00	De Boelelaan 1109	1081 HV		POINT(4.8650198 52.3348007)		Amsterdam	Middelbare school	VO	ROC TOP, Locatie De Boelelaan	Algemeen Bijzonder	Zuid	De Boelelaan 1109	1081 HV	Amsterdam			495 24 00		boelelaan@roctop.nl	www.roctop.nl			30RM	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30RM.htm
ROC TOP, Locatie De Donge	roc_top_locatie_de_donge		0000-00-00 00:00:00	Dongestraat 8	1078 JW		POINT(4.8938346 52.3455391)		Amsterdam	Middelbare school	VO	ROC TOP, Locatie De Donge	Algemeen Bijzonder	Zuid	Dongestraat 8	1078 JW	Amsterdam			570 88 00		dedonge@roctop.nl	www.roctop.nl		Zuid	30RM	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30RM.htm
ROC TOP, Locatie De Klencke	roc_top_locatie_de_klencke		0000-00-00 00:00:00	De Klencke 4	1083 HH		POINT(4.88695 52.3338203)		Amsterdam	Middelbare school	VO	ROC TOP, Locatie De Klencke	Algemeen Bijzonder	Zuid	De Klencke 4	1083 HH	Amsterdam			462 01 00		klencke@roctop.nl	www.roctop.nl		Oost	30RM	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30RM.htm
ROC TOP, Wibautcollege	roc_top_wibautcollege		0000-00-00 00:00:00	Wibautstraat 135-139	1097 GL		POINT(4.9176202 52.3496895)		Amsterdam	Middelbare school	VO	ROC TOP, Wibautcollege	Algemeen Bijzonder	Oost	Wibautstraat 135-139	1097 GL	Amsterdam			568 14 10		wibautcollege@roctop.nl	www.roctop.nl		Oost	30RM	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30RM.htm
ROC TOP, Locatie Rode Kruisstraat	roc_top_locatie_rode_kruisstraat		0000-00-00 00:00:00	Rode Kruisstraat 14	1025 KN		POINT(4.9309702 52.3948517)		Amsterdam	Middelbare school	VO	ROC TOP, Locatie Rode Kruisstraat	Algemeen Bijzonder	Noord	Rode Kruisstraat 14	1025 KN	Amsterdam			630 19 00		rodekruisstraat@roctop.nl	www.roctop.nl		Noord	30RM	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30RM.htm
De Atlant Praktijkcollege	de_atlant_praktijkcollege		0000-00-00 00:00:00	Teilingen 4	1082 JS		POINT(4.8726501 52.3272209)		Amsterdam	Middelbare school	VO	De Atlant Praktijkcollege	Algemeen Bijzonder		Teilingen 4	1082 JS	Amsterdam			644 72 90	642 67 45	info@de-atlant.nl	www.de-atlant.nl	dhr. R. v.d. Vaart (dir.) en dhr. P. Altena (adj.dir.)	Zuid	09PY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09PY00.htm
De Berkhoff - VOvA	de_berkhoff_vova		0000-00-00 00:00:00	Wibautstraat 220-222 	1097 DN		POINT(4.9165201 52.3496513)		Amsterdam	Middelbare school	VO	De Berkhoff - VOvA	Samenwerking RK, Alg. Bijz.	Horeca, Brood & Banket	Wibautstraat 220-222 	1097 DN	Amsterdam			579 72 72	579 72 71	info@deberkhoff.vova.nl	www.berkhoffschool.nl	dhr. H. Bregman en dhr. R. Ruijzenaars (schoolleiding)	Oost	09VK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/09VK00.htm
Kolom praktijkcollege Het Plein	kolom_praktijkcollege_het_plein		0000-00-00 00:00:00	Jan de Louterpad 5	1063 ME		POINT(4.8193202 52.3794785)		Amsterdam	Middelbare school	VO	Kolom praktijkcollege Het Plein	Algemeen Bijzonder		Jan de Louterpad 5	1063 ME	Amsterdam			480 10 48	480 10 40	school@het-plein.net	www.het-plein.net	dhr. M. Marzguioui (dir.) en dhr. J.T. Meijer (adj.dir.)	Nieuw-West	10JY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/10JY00.htm
Pieter Nieuwland College	pieter_nieuwland_college		0000-00-00 00:00:00	Nobelweg 6	1097 AR		POINT(4.9247451 52.3500748)		Amsterdam	Middelbare school	VO	Pieter Nieuwland College	Samenwerking PC, RK		Nobelweg 6	1097 AR	Amsterdam			665 47 30	668 19 11	info@pieternieuwland.nl	www.pieternieuwland.nl	dhr. drs. W.J.M. Raeven (dir.)	Oost	14RF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RF00.htm
Pieter Nieuwland College/Havo	pieter_nieuwland_college_havo		0000-00-00 00:00:00	Linnaeushof 48	1098 KM		POINT(4.9354901 52.3516693)		Amsterdam	Middelbare school	VO	Pieter Nieuwland College/Havo	Samenwerking PC, RK		Linnaeushof 48	1098 KM	Amsterdam					info@pieternieuwland.nl	www.pieternieuwland.nl	dhr. drs. W.J.M. Raeven (dir.)	Oost	14RF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RF00.htm
College De Meer	college_de_meer		0000-00-00 00:00:00	Radioweg 56	1098 NJ		POINT(4.9419498 52.3515015)		Amsterdam	Middelbare school	VO	College De Meer	Samenwerking PC, RK		Radioweg 56	1098 NJ	Amsterdam	Postbus 93518	1090EA Amsterdam	694 52 03	462 38 99	demeer@demeer.org	www.demeer.org	dhr. R. van Gennip (locatie directeur) en dhr. J. Elzendoorn (adj.dir.)	Oost	14RF03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RF03.htm
Bindelmeer College	bindelmeer_college		0000-00-00 00:00:00	Dubbelink 1	1102 AL		POINT(4.9489002 52.3223991)		Amsterdam Zuidoost	Middelbare school	VO	Bindelmeer College	Samenwerking PC, RK		Dubbelink 1	1102 AL	Amsterdam Zuidoost			699 02 21	600 08 66	bindelmeer@bindelmeercollege.nl	www.bindelmeercollege.nl	dhr. B. van den Berg	Zuidoost	14RF04	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RF04.htm
Cygnus Gymnasium	cygnus_gymnasium		0000-00-00 00:00:00	Vrolikstraat 8	1091 VG		POINT(4.9124599 52.35495)		Amsterdam	Middelbare school	VO	Cygnus Gymnasium	Samenwerking PC, RK		Vrolikstraat 8	1091 VG	Amsterdam			468 88 80		info@cygnusgymnasium.nl	www.cygnusgymnasium.nl	dhr. drs. E. van Rijn (rector)	Oost	14RF06	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RF06.htm
Stelle College - VOvA	stelle_college_vova		0000-00-00 00:00:00	Mr. Treublaan 1-3	1097 DP		POINT(4.8176498 52.3388901)		Amsterdam	Middelbare school	VO	Stelle College - VOvA	Algemeen Bijzonder	Handel, Verkoop & Administratie, Sport, Dienstverlening & Veiligheid, ICT, Uiterlijke Verzorging (ook VM2 traject)	Mr. Treublaan 1-3	1097 DP	Amsterdam			579 71 30	694 53 51	info@stellecollege.vova.nl	www.stellecollege.nl	dhr. I. Oostvriesland en dhr. F. Snippe (schoolleiding)	Oost	14RL00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RL00.htm
ROC Op Maat West - VOvA	roc_op_maat_west_vova		0000-00-00 00:00:00	Erik de Roodestraat 18	1056 AM		POINT(4.84478 52.3734207)		Amsterdam	Middelbare school	VO	ROC Op Maat West - VOvA	Algemeen Bijzonder	AKA opleiding MBO/VMBO (LWOO)	Erik de Roodestraat 18	1056 AM	Amsterdam			579 71 71	685 13 56	info@rocopmaat.vova.nl	www.rocopmaat.nl	mw. G. Verlaan (schoolleider)		14RL07	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RL07.htm
ROC Op Maat Zuidoost - VOvA	roc_op_maat_zuidoost_vova		0000-00-00 00:00:00	Bijlmerdreef 1289	1103 TV		POINT(4.97615 52.3229103)		Amsterdam Zuidoost	Middelbare school	VO	ROC Op Maat Zuidoost - VOvA	Algemeen Bijzonder	AKA opleiding MBO/VMBO (LWOO)	Bijlmerdreef 1289	1103 TV	Amsterdam Zuidoost			579 11 96	579 11 97	info@rocopmaat.vova.nl	www.rocopmaat.nl	mw. D. Saptenno (schoolleider)		14RL02	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RL02.htm
Tobiasschool - VOvA	tobiasschool_vova		0000-00-00 00:00:00	Poeldijkstraat 255	1059 VL		POINT(4.8442602 52.3497391)		Amsterdam	Middelbare school	VO	Tobiasschool - VOvA	Algemeen Bijzonder	Nevenvestiging Zorg, LWOO, AKA , VMBO BK (intersectoraal)	Poeldijkstraat 255	1059 VL	Amsterdam			579 72 95	669 73 81	info@tobiasschool.vova.nl	www.vo.tobiasschool.nl	dhr. F. Bronkhorst (schoolleider) en mw. A. Dekker (zorgco�rdinator,intake)		14RL03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RL03.htm
LUCA Praktijkschool - VOvA	luca_praktijkschool_vova		0000-00-00 00:00:00	Javaplantsoen 24	1095 CS		POINT(4.9443498 52.3626785)		Amsterdam	Middelbare school	VO	LUCA Praktijkschool - VOvA	Algemeen Bijzonder		Javaplantsoen 24	1095 CS	Amsterdam			579 71 50	579 71 53	info@lucapraktijkschool.vova.nl	www.lucapraktijkschool.nl	mw. T. Jegen (schoolleider)	Oost	14RL06	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14RL06.htm
St. Nicolaaslyceum	st_nicolaaslyceum		0000-00-00 00:00:00	Beethovenplein 2	1077 WM		POINT(4.8781099 52.3414993)		Amsterdam	Middelbare school	VO	St. Nicolaaslyceum	Rooms Katholiek		Beethovenplein 2	1077 WM	Amsterdam			644 51 51		sint@nicolaas.nl	www.nicolaas.nl	dhr. drs. H.J. van Rooijen; mw. M. Lodeweges (plv. rector) en mw. R.A. Dahlhaus (brugklasco�rdinator)	Zuid	14SE00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14SE00.htm
Christelijke Scholengemeenschap Buitenveldert (CSB)	christelijke_scholengemeenschap_buitenveldert_csb		0000-00-00 00:00:00	De Cuserstraat 3	1081 CK		POINT(4.8673902 52.32341)		Amsterdam	Middelbare school	VO	Christelijke Scholengemeenschap Buitenveldert (CSB)	Protestants Christelijk		De Cuserstraat 3	1081 CK	Amsterdam			642 39 02	642 14 70	administratie@csb-amsterdam.nl	www.csb-amsterdam.nl	dhr. drs. H.J.M. Ligthart  (rector)	Zuid	14VY00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14VY00.htm
Joodse Scholengemeenschap Maimonides, 	joodse_scholengemeenschap_maimonides		0000-00-00 00:00:00	Noordbrabantstraat 15-17	1083 BE		POINT(4.8870602 52.3255196)		Amsterdam	Middelbare school	VO	Joodse Scholengemeenschap Maimonides, 	Joods		Noordbrabantstraat 15-17	1083 BE	Amsterdam	Postbus 87058	1080JB Amsterdam	642 61 61	404 36 57	info@jsgmaimonides.nl	www.jsgmaimonides.nl	dhr. J.C.J. Couwenberg	Zuid	16PN00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16PN00.htm
Montessori Scholengemeenschap Amsterdam Centraal bureau	montessori_scholengemeenschap_amsterdam_centraal_bureau		0000-00-00 00:00:00	Polderweg 3	1093 KL		POINT(4.92977 52.3580894)		Amsterdam	Middelbare school	VO	Montessori Scholengemeenschap Amsterdam Centraal bureau	Algemeen Bijzonder		Polderweg 3	1093 KL	Amsterdam	Postbus 92048	1090AA Amsterdam	597 98 88	597 98 00	msa@msa.nl	www.msa.nl	 F. Stouten  (Bestuurder) en B. Bock (Dir. Centraal Bureau)	Oost	16PS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16PS00.htm
Montessori Lyceum Amsterdam	montessori_lyceum_amsterdam		0000-00-00 00:00:00	Pieter de Hoochstraat 59	1071 ED		POINT(4.8854899 52.3549309)		Amsterdam	Middelbare school	VO	Montessori Lyceum Amsterdam	Algemeen Bijzonder		Pieter de Hoochstraat 59	1071 ED	Amsterdam			676 78 55	679 52 66	administratie@mla.msa.nl	www.montessorilyceumamsterdam.nl	dhr. W.J.  Brouwer (rector)	Zuid	16PS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16PS00.htm
IVKO School	ivko_school		0000-00-00 00:00:00	Rustenburgerstraat 15	1074 EP		POINT(4.9050102 52.3536682)		Amsterdam	Middelbare school	VO	IVKO School	Algemeen Bijzonder	Individueel Voortgezet en Kunstzinnig Onderwijs	Rustenburgerstraat 15	1074 EP	Amsterdam			597 93 60	597 93 99	info@ivko.msa.nl	www.ivko.nl	dhr. J. Jansen	Zuid	16PS04	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16PS04.htm
Cosmicus Montessori Lyceum	cosmicus_montessori_lyceum		0000-00-00 00:00:00	Mauritskade 58	1092 AD		POINT(4.91818 52.3617706)		Amsterdam	Middelbare school	VO	Cosmicus Montessori Lyceum	Algemeen Bijzonder		Mauritskade 58	1092 AD	Amsterdam	Postbus 92065	1090AB Amsterdam	597 93 00	693 06 16	info@cml.msa.nl	www.hetcml.nl	dhr. drs. H. Asma	Oost	16PS17	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16PS17.htm
Montessori College Oost	montessori_college_oost		0000-00-00 00:00:00	Polderweg 3	1093 KL		POINT(4.92977 52.3580894)		Amsterdam	Middelbare school	VO	Montessori College Oost	Algemeen Bijzonder		Polderweg 3	1093 KL	Amsterdam			597 98 99	597 98 40	mco@msa.nl	www.montessori-college-oost.nl	T. Jaspers	Oost	16PS08	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16PS08.htm
Cosmicus Montessori Lyceum	cosmicus_montessori_lyceum_1		0000-00-00 00:00:00	Polderweg 1	1093 KL		POINT(4.9279399 52.3576012)		Amsterdam	Middelbare school	VO	Cosmicus Montessori Lyceum	Algemeen Bijzonder	CML avo	Polderweg 1	1093 KL	Amsterdam	Postbus 92065	1090AB Amsterdam	597 98 04	463 22 25	info@cml.msa.nl	www.hetcml.nl	dhr. drs. H. Asma	Oost	16PS16	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16PS16.htm
Geert Groote College Amsterdam	geert_groote_college_amsterdam		0000-00-00 00:00:00	Fred. Roeskestraat 84	1076 ED		POINT(4.8629999 52.3415489)		Amsterdam	Middelbare school	VO	Geert Groote College Amsterdam	Antroposofisch	Vrije School	Fred. Roeskestraat 84	1076 ED	Amsterdam	Postbus 77779	1070LJ Amsterdam	574 58 30	675 81 37	info@ggca.nl	www.ggca.nl	mw. M. Prins	Zuid	16TS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16TS00.htm
Comenius Lyceum	comenius_lyceum		0000-00-00 00:00:00	Derkinderenstraat 44	1062 BJ		POINT(4.84093 52.3598213)		Amsterdam	Middelbare school	VO	Comenius Lyceum	Samenwerking PC, RK		Derkinderenstraat 44	1062 BJ	Amsterdam			614 03 05	617 26 70	comenius@comeniuslyceum.nl	www.comeniuslyceum.nl	dhr. K. Buijtelaar (rector)	Nieuw-West	17HB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17HB00.htm
Meridiaan College	meridiaan_college		0000-00-00 00:00:00	Karel Klinkenbergstraat 1-3	1061 AH		POINT(4.8354402 52.3664207)		Amsterdam	Middelbare school	VO	Meridiaan College	Samenwerking PC, RK		Karel Klinkenbergstraat 1-3	1061 AH	Amsterdam			617 64 26	617 86 51	meridiaan@meridiaancollege.nl	www.meridiaancollege.nl	dhr. M. Strang (directeur) en dhr. F. Burtner (Co�rdinator Leerlingenzaken)	Nieuw-West	17HB03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17HB03.htm
Calvijn met Junior College	calvijn_met_junior_college		0000-00-00 00:00:00	Schipluidenlaan 12	1062 HE		POINT(4.8380494 52.3564415)		Amsterdam	Middelbare school	VO	Calvijn met Junior College	Samenwerking PC, RK		Schipluidenlaan 12	1062 HE	Amsterdam			615 34 09	669 31 16	calvijn@calvijnmjc.nl	www.calvijnmetjuniorcollege.nl	mw. J. Hogewind	Nieuw-West	17HB06	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17HB06.htm
Iedersland College	iedersland_college		0000-00-00 00:00:00	Dr. Jan van Breemenstraat 1	1056 AB		POINT(4.8437099 52.3699493)		Amsterdam	Middelbare school	VO	Iedersland College	Samenwerking PC, RK		Dr. Jan van Breemenstraat 1	1056 AB	Amsterdam			408 12 04	408 17 55	iedersland@iederslandcollege.nl	www.iederslandcollege.nl	mw. E.A. Lefrandt	West	17HB07	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17HB07.htm
Damstede	damstede		0000-00-00 00:00:00	Rode Kruisstraat 83	1025 KM		POINT(4.9265699 52.3954887)		Amsterdam	Middelbare school	VO	Damstede	Samenwerking PC, RK		Rode Kruisstraat 83	1025 KM	Amsterdam			635 23 60	634 34 41	damstede@damstede.net	www.damstede.net	dhr. M. van Dijk (rector)	Noord	17VF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17VF00.htm
Rosa Beroepscollege Zorg en Welzijn	rosa_beroepscollege_zorg_en_welzijn		0000-00-00 00:00:00	Schoenerstraat 7	1034 XZ		POINT(4.9096398 52.4040108)		Amsterdam	Middelbare school	VO	Rosa Beroepscollege Zorg en Welzijn	Samenwerking PC, RK		Schoenerstraat 7	1034 XZ	Amsterdam			631 67 11	633 22 95	rosa@derosa.nl	www.derosa.nl	mw. U.T. Op 't Land	Noord	17VF01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17VF01.htm
Waterlant Beroepsopleidingen  IJdoorn	waterlant_beroepsopleidingen_ijdoorn		0000-00-00 00:00:00	Rode Kruisstraat 14	1025 KN		POINT(4.9309702 52.3948517)		Amsterdam	Middelbare school	VO	Waterlant Beroepsopleidingen  IJdoorn	Samenwerking PC, RK		Rode Kruisstraat 14	1025 KN	Amsterdam			630 19 00	630 19 29	info@waterlant.nl	www.waterlant.nl	dhr. B. Schumacher (dir.) en dhr. M. van der Woude (teammanager vmbo)	Noord	17VF02	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17VF02.htm
Over-Y College	over_y_college		0000-00-00 00:00:00	Floraweg 170	1032 ZG		POINT(4.9124699 52.4001503)		Amsterdam	Middelbare school	VO	Over-Y College	Samenwerking PC, RK	Sport- en Theaterklas en Science	Floraweg 170	1032 ZG	Amsterdam			435 09 99	435 07 77	over-y@over-y.nl	www.over-y.nl	dhr. R. de Haan	Noord	17VF03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17VF03.htm
Hogelant	hogelant		0000-00-00 00:00:00	Duinluststraat 20	1024 VK		POINT(4.9535098 52.395771)		Amsterdam	Middelbare school	VO	Hogelant	Samenwerking PC, RK		Duinluststraat 20	1024 VK	Amsterdam			634 47 37		info@hogelant.nl	www.hogelant.nl	locatieco�rdinator: G.Braaksma	Noord	17VF06	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17VF06.htm
Esprit Scholen	esprit_scholen		0000-00-00 00:00:00	Burgemeester Hogguerstraat 2a	1064 EB		POINT(4.8308902 52.3732414)		Amsterdam	Middelbare school	VO	Esprit Scholen	Algemeen Bijzonder	College van Bestuur	Burgemeester Hogguerstraat 2a	1064 EB	Amsterdam			585 48 11	585 48 24	info@cb.espritscholen.nl	www.espritscholen.nl	mw. R. T. Kervezee, voorzitter College van Bestuur	Nieuw-West	17YS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17YS00.htm
Nova College Amsterdam	nova_college_amsterdam		0000-00-00 00:00:00	Burgemeester Hogguerstraat 2	1064 EB		POINT(4.8308101 52.3731384)		Amsterdam	Middelbare school	VO	Nova College Amsterdam	Algemeen Bijzonder	Onderdeel van de Esprit Scholen	Burgemeester Hogguerstraat 2	1064 EB	Amsterdam			585 48 54	585 48 85	info@nova.espritscholen.nl	www.nova.espritscholen.nl	mw. A.A.C.M. Brummelhuis	Nieuw-West	17YS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17YS00.htm
Berlage Lyceum	berlage_lyceum		0000-00-00 00:00:00	Pieter Lodewijk Takstraat 33	1073 KJ		POINT(4.8998799 52.3489189)		Amsterdam	Middelbare school	VO	Berlage Lyceum	Algemeen Bijzonder	Onderdeel van de Esprit Scholen	Pieter Lodewijk Takstraat 33	1073 KJ	Amsterdam			572 12 00	572 12 89	info@berlagelyceum.eu	www.berlage.espritscholen.nl	dhr. L.J. Veldhuyzen (rector)	Zuid	17YS03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17YS03.htm
Marcanti College	marcanti_college		0000-00-00 00:00:00	Jan van Galenstraat 31	1051 KM		POINT(4.8659902 52.3752594)		Amsterdam	Middelbare school	VO	Marcanti College	Algemeen Bijzonder	onderdeel van de Esprit Scholen	Jan van Galenstraat 31	1051 KM	Amsterdam			606 90 00	606 90 89	info@marcanti.espritscholen.nl	www.marcanti.espritscholen.nl	dhr. P.J.A. Henry	West	17YS04	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17YS04.htm
Cartesius Lyceum	cartesius_lyceum		0000-00-00 00:00:00	Frederik Hendrikplantsoen 7a	1052 XN		POINT(4.8765402 52.3779297)		Amsterdam	Middelbare school	VO	Cartesius Lyceum	Algemeen Bijzonder	Onderdeel van de Esprit Scholen	Frederik Hendrikplantsoen 7a	1052 XN	Amsterdam			584 96 77		info@cartesius.espritscholen.nl	www.cartesius.espritscholen.nl	mw. drs. A. Sloan (rector)	West	17YS08	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17YS08.htm
Wissel, De	wissel_de		0000-00-00 00:00:00	Herman Poortstraat 17	1064 BR		POINT(4.8315401 52.3766289)		Amsterdam	Middelbare school	VO	Wissel, De	Algemeen Bijzonder	onderdeel van Het Nova College, Esprit Scholen	Herman Poortstraat 17	1064 BR	Amsterdam			589 30 38		info@nova.espritscholen.nl	www.nova.espritscholen.nl	mw. A.A.C.M. Brummelhuis	West	17YS12	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17YS12.htm
Amsterdam International Community School (AICS)	amsterdam_international_community_school_aics_1		0000-00-00 00:00:00	Prinses Irenestraat 59	1077 WV		POINT(4.8707199 52.3413506)		Amsterdam	Middelbare school	VO	Amsterdam International Community School (AICS)	Algemeen Bijzonder	AICS is part of the ESPRIT Schoolgroup	Prinses Irenestraat 59	1077 WV	Amsterdam			577 12 40	577 12 49	info@aics.espritscholen.nl	www.aics.espritscholen.nl	dhr. K. v. Ruitenbeek	Zuid	17YS13	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17YS13.htm
Orion College (VSO)	orion_college_vso		0000-00-00 00:00:00	Zekeringstraat 45	1014 BP		POINT(4.8487802 52.3957901)		Amsterdam	Middelbare school	VO	Orion College (VSO)	Openbaar		Zekeringstraat 45	1014 BP	Amsterdam			611 12 13		orioncollegewest@orion.nl	www.orioncollegeamsterdam.nl	dhr. C. Tetteroo	Westpoort	20WQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20WQ00.htm
Barlaeus Gymnasium	barlaeus_gymnasium		0000-00-00 00:00:00	Weteringschans 29-31	1017 RV		POINT(4.8843799 52.3624382)		Amsterdam	Middelbare school	VO	Barlaeus Gymnasium	Openbaar		Weteringschans 29-31	1017 RV	Amsterdam			626 33 96	626 33 98	adm@barlaeus.nl	www.barlaeus.nl	dhr. drs. M.F. Elkerbout (rector) en mw. drs. M.P.J. Bosman (conrector onderbouw) en mw. I. Krul (conrector bovenbouw)	Centrum	21AB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/21AB00.htm
Vossius Gymnasium	vossius_gymnasium		0000-00-00 00:00:00	Messchaertstraat 1	1077 WS		POINT(4.8840098 52.3457108)		Amsterdam	Middelbare school	VO	Vossius Gymnasium	Openbaar		Messchaertstraat 1	1077 WS	Amsterdam			662 09 34	675 90 44	vossius@vossius.nl	www.vossius.nl	dhr. drs J.W.H. van Muilekom (Rector) en mw. drs.  S.S.S. Remesar (conrector onderbouw) en dhr.drs. F. Woolthuis (conrector bovenbouw)	Zuid	21AF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/21AF00.htm
Bredero Lyceum - VOvA	bredero_lyceum_vova		0000-00-00 00:00:00	Buiksloterweg 85	1031 CG		POINT(4.91258 52.3870888)		Amsterdam	Middelbare school	VO	Bredero Lyceum - VOvA	Openbaar		Buiksloterweg 85	1031 CG	Amsterdam	Postbus 37606	1030BB Amsterdam	579 72 10	579 72 34	info@brederolyceum.vova.nl	www.brederolyceum.nl	dhr. P.L.C. van Hameren (schoolleider)	Noord	21AS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/21AS00.htm
Bredero Beroepscollege - VOvA	bredero_beroepscollege_vova		0000-00-00 00:00:00	Meeuwenlaan 132	1022 AM		POINT(4.9255199 52.3891487)		Amsterdam	Middelbare school	VO	Bredero Beroepscollege - VOvA	Openbaar		Meeuwenlaan 132	1022 AM	Amsterdam			579 72 00		info@brederoberoepscollege.vova.nl	www.brederoberoepscollege.nl	dhr. R. Porck (schoolleider), mw. El Kharrim (teamleider onderbouw) en mw. Thijssen (teamleider bovenbouw)	Noord	21AS03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/21AS03.htm
Bredero Mavo - VOvA	bredero_mavo_vova		0000-00-00 00:00:00	Gare du Nord 5	1022 LD		POINT(4.92975 52.40233)		Amsterdam	Middelbare school	VO	Bredero Mavo - VOvA	Openbaar	vmbo-t	Gare du Nord 5	1022 LD	Amsterdam	Gare du Nord 5	1022LD Amsterdam	579 72 30		info@brederomavo.vova.nl	www.brederomavo.nl	dhr. R. Volder (schoolleider)	Noord	21AS07	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/21AS07.htm
De nieuwe Havo - VOvA	de_nieuwe_havo_vova		0000-00-00 00:00:00	Buiksloterweg 85	1031 CG		POINT(4.91258 52.3870888)		Amsterdam	Middelbare school	VO	De nieuwe Havo - VOvA	Openbaar	Voorbereidend HBO	Buiksloterweg 85	1031 CG	Amsterdam	Postbus 37606	1030BB Amsterdam	579 71 77		info@denieuwehavo.vova.nl	www.denieuwehavo.nl	dhr. P.L.C. van Hameren (schoolleider) en mw. J. Jensen (teamleider)	Noord	21AS	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/21AS.htm
